 , , OBJECT 1, , , , , , , OBJECT 2,,,,,,,,,,,,,,,,
t, , x1, y1, vx1, vy1, ax1, ay1, , x2, y2, vx2, vy2, ax2, ay2,,,,,,,,,,,
0.085, ,0.49004,-0.612978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.086, ,0.49404,-0.610778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.087, ,0.49804,-0.608578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.088, ,0.50204,-0.606378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.089, ,0.50604,-0.604178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.09, ,0.51004,-0.601978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.091, ,0.51404,-0.599778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.092, ,0.51804,-0.597578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.093, ,0.52204,-0.595378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.094, ,0.52604,-0.593178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.095, ,0.53004,-0.590978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.096, ,0.53404,-0.588778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.097, ,0.53804,-0.586578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.098, ,0.54204,-0.584378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.099, ,0.54604,-0.582178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.1, ,0.55004,-0.579978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.101, ,0.55404,-0.577778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.102, ,0.55804,-0.575578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.103, ,0.56204,-0.573378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.104, ,0.56604,-0.571178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.105, ,0.57004,-0.568978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.106, ,0.57404,-0.566778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.107, ,0.57804,-0.564578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.108, ,0.58204,-0.562378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.109, ,0.58604,-0.560178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.11, ,0.59004,-0.557978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.111, ,0.59404,-0.555778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.112, ,0.59804,-0.553578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.113, ,0.60204,-0.551378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
